Code,Description
H01133,"Eczematous dermatitis of right eye, unspecified eyelid"
H01134,Eczematous dermatitis of left upper eyelid
H01135,Eczematous dermatitis of left lower eyelid
H01136,"Eczematous dermatitis of left eye, unspecified eyelid"
H01139,"Eczematous dermatitis of unspecified eye, unspecified eyelid"
H01141,Xeroderma of right upper eyelid
H01142,Xeroderma of right lower eyelid
H01143,"Xeroderma of right eye, unspecified eyelid"
H01144,Xeroderma of left upper eyelid
H01145,Xeroderma of left lower eyelid
H01146,"Xeroderma of left eye, unspecified eyelid"
H01149,"Xeroderma of unspecified eye, unspecified eyelid"
H018,Other specified inflammations of eyelid
H019,Unspecified inflammation of eyelid
H02001,Unspecified entropion of right upper eyelid
H02002,Unspecified entropion of right lower eyelid
H02003,"Unspecified entropion of right eye, unspecified eyelid"
H02004,Unspecified entropion of left upper eyelid
H02005,Unspecified entropion of left lower eyelid
H02006,"Unspecified entropion of left eye, unspecified eyelid"
H02009,"Unspecified entropion of unspecified eye, unspecified eyelid"
H02011,Cicatricial entropion of right upper eyelid
H02012,Cicatricial entropion of right lower eyelid
H02013,"Cicatricial entropion of right eye, unspecified eyelid"
H02014,Cicatricial entropion of left upper eyelid
H02015,Cicatricial entropion of left lower eyelid
H02016,"Cicatricial entropion of left eye, unspecified eyelid"
H02019,"Cicatricial entropion of unspecified eye, unspecified eyelid"
H02021,Mechanical entropion of right upper eyelid
H02022,Mechanical entropion of right lower eyelid
H02023,"Mechanical entropion of right eye, unspecified eyelid"
H02024,Mechanical entropion of left upper eyelid
H02025,Mechanical entropion of left lower eyelid
H02026,"Mechanical entropion of left eye, unspecified eyelid"
H02029,"Mechanical entropion of unspecified eye, unspecified eyelid"
H02031,Senile entropion of right upper eyelid
H02032,Senile entropion of right lower eyelid
H02033,"Senile entropion of right eye, unspecified eyelid"
H02034,Senile entropion of left upper eyelid
H02035,Senile entropion of left lower eyelid
H02036,"Senile entropion of left eye, unspecified eyelid"
H02039,"Senile entropion of unspecified eye, unspecified eyelid"
H02041,Spastic entropion of right upper eyelid
H02042,Spastic entropion of right lower eyelid
H02043,"Spastic entropion of right eye, unspecified eyelid"
H02044,Spastic entropion of left upper eyelid
H02045,Spastic entropion of left lower eyelid
H02046,"Spastic entropion of left eye, unspecified eyelid"
H02049,"Spastic entropion of unspecified eye, unspecified eyelid"
H02051,Trichiasis without entropian right upper eyelid
H02052,Trichiasis without entropian right lower eyelid
H02053,"Trichiasis without entropian right eye, unspecified eyelid"
H02054,Trichiasis without entropian left upper eyelid
H02055,Trichiasis without entropian left lower eyelid
H02056,"Trichiasis without entropian left eye, unspecified eyelid"
H02059,"Trichiasis without entropian unspecified eye, unspecified eyelid"
H02101,Unspecified ectropion of right upper eyelid
H02102,Unspecified ectropion of right lower eyelid
H02103,"Unspecified ectropion of right eye, unspecified eyelid"
H02104,Unspecified ectropion of left upper eyelid
H02105,Unspecified ectropion of left lower eyelid
H02106,"Unspecified ectropion of left eye, unspecified eyelid"
H02109,"Unspecified ectropion of unspecified eye, unspecified eyelid"
H02111,Cicatricial ectropion of right upper eyelid
H02112,Cicatricial ectropion of right lower eyelid
H02113,"Cicatricial ectropion of right eye, unspecified eyelid"
H02114,Cicatricial ectropion of left upper eyelid
H02115,Cicatricial ectropion of left lower eyelid
H02116,"Cicatricial ectropion of left eye, unspecified eyelid"
H02119,"Cicatricial ectropion of unspecified eye, unspecified eyelid"
H02121,Mechanical ectropion of right upper eyelid
H02122,Mechanical ectropion of right lower eyelid
H02123,"Mechanical ectropion of right eye, unspecified eyelid"
H02124,Mechanical ectropion of left upper eyelid
H02125,Mechanical ectropion of left lower eyelid
H02126,"Mechanical ectropion of left eye, unspecified eyelid"
H02129,"Mechanical ectropion of unspecified eye, unspecified eyelid"
H02131,Senile ectropion of right upper eyelid
H02132,Senile ectropion of right lower eyelid
H02133,"Senile ectropion of right eye, unspecified eyelid"
H02134,Senile ectropion of left upper eyelid
H02135,Senile ectropion of left lower eyelid
H02136,"Senile ectropion of left eye, unspecified eyelid"
H02139,"Senile ectropion of unspecified eye, unspecified eyelid"
H02141,Spastic ectropion of right upper eyelid
H02142,Spastic ectropion of right lower eyelid
H02143,"Spastic ectropion of right eye, unspecified eyelid"
H02144,Spastic ectropion of left upper eyelid
H02145,Spastic ectropion of left lower eyelid
H02146,"Spastic ectropion of left eye, unspecified eyelid"
H02149,"Spastic ectropion of unspecified eye, unspecified eyelid"
H02201,Unspecified lagophthalmos right upper eyelid
H02202,Unspecified lagophthalmos right lower eyelid
H02203,"Unspecified lagophthalmos right eye, unspecified eyelid"
H02204,Unspecified lagophthalmos left upper eyelid
H02205,Unspecified lagophthalmos left lower eyelid
H02206,"Unspecified lagophthalmos left eye, unspecified eyelid"
H02209,"Unspecified lagophthalmos unspecified eye, unspecified eyelid"
H02211,Cicatricial lagophthalmos right upper eyelid
H02212,Cicatricial lagophthalmos right lower eyelid
H02213,"Cicatricial lagophthalmos right eye, unspecified eyelid"
H02214,Cicatricial lagophthalmos left upper eyelid
H02215,Cicatricial lagophthalmos left lower eyelid
H02216,"Cicatricial lagophthalmos left eye, unspecified eyelid"
H02219,"Cicatricial lagophthalmos unspecified eye, unspecified eyelid"
H02221,Mechanical lagophthalmos right upper eyelid
H02222,Mechanical lagophthalmos right lower eyelid
H02223,"Mechanical lagophthalmos right eye, unspecified eyelid"
H02224,Mechanical lagophthalmos left upper eyelid
H02225,Mechanical lagophthalmos left lower eyelid
H02226,"Mechanical lagophthalmos left eye, unspecified eyelid"
H02229,"Mechanical lagophthalmos unspecified eye, unspecified eyelid"
H02231,Paralytic lagophthalmos right upper eyelid
H02232,Paralytic lagophthalmos right lower eyelid
H02233,"Paralytic lagophthalmos right eye, unspecified eyelid"
H02234,Paralytic lagophthalmos left upper eyelid
H02235,Paralytic lagophthalmos left lower eyelid
H02236,"Paralytic lagophthalmos left eye, unspecified eyelid"
H02239,"Paralytic lagophthalmos unspecified eye, unspecified eyelid"
H0230,"Blepharochalasis unspecified eye, unspecified eyelid"
H0231,Blepharochalasis right upper eyelid
H0232,Blepharochalasis right lower eyelid
H0233,"Blepharochalasis right eye, unspecified eyelid"
H0234,Blepharochalasis left upper eyelid
H0235,Blepharochalasis left lower eyelid
H0236,"Blepharochalasis left eye, unspecified eyelid"
H02401,Unspecified ptosis of right eyelid
H02402,Unspecified ptosis of left eyelid
H02403,Unspecified ptosis of bilateral eyelids
H02409,Unspecified ptosis of unspecified eyelid
H02411,Mechanical ptosis of right eyelid
H02412,Mechanical ptosis of left eyelid
H02413,Mechanical ptosis of bilateral eyelids
H02419,Mechanical ptosis of unspecified eyelid
H02421,Myogenic ptosis of right eyelid
H02422,Myogenic ptosis of left eyelid
H02423,Myogenic ptosis of bilateral eyelids
H02429,Myogenic ptosis of unspecified eyelid
H02431,Paralytic ptosis of right eyelid
H02432,Paralytic ptosis of left eyelid
H02433,Paralytic ptosis of bilateral eyelids
H02439,Paralytic ptosis unspecified eyelid
H02511,Abnormal innervation syndrome right upper eyelid
H02512,Abnormal innervation syndrome right lower eyelid
H02513,"Abnormal innervation syndrome right eye, unspecified eyelid"
H02514,Abnormal innervation syndrome left upper eyelid
H02515,Abnormal innervation syndrome left lower eyelid
H02516,"Abnormal innervation syndrome left eye, unspecified eyelid"
H02519,"Abnormal innervation syndrome unspecified eye, unspecified eyelid"
H02521,Blepharophimosis right upper eyelid
H02522,Blepharophimosis right lower eyelid
H02523,"Blepharophimosis right eye, unspecified eyelid"
H02524,Blepharophimosis left upper eyelid
H02525,Blepharophimosis left lower eyelid
H02526,"Blepharophimosis left eye, unspecified eyelid"
H02529,"Blepharophimosis unspecified eye, unspecified lid"
H02531,Eyelid retraction right upper eyelid
H02532,Eyelid retraction right lower eyelid
H02533,"Eyelid retraction right eye, unspecified eyelid"
H02534,Eyelid retraction left upper eyelid
H02535,Eyelid retraction left lower eyelid
H02536,"Eyelid retraction left eye, unspecified eyelid"
H02539,"Eyelid retraction unspecified eye, unspecified lid"
H0259,Other disorders affecting eyelid function
H0260,"Xanthelasma of unspecified eye, unspecified eyelid"
H0261,Xanthelasma of right upper eyelid
H0262,Xanthelasma of right lower eyelid
H0263,"Xanthelasma of right eye, unspecified eyelid"
H0264,Xanthelasma of left upper eyelid
H0265,Xanthelasma of left lower eyelid
H0266,"Xanthelasma of left eye, unspecified eyelid"
H0270,Unspecified degenerative disorders of eyelid and periocular area
H02711,Chloasma of right upper eyelid and periocular area
H02712,Chloasma of right lower eyelid and periocular area
H02713,"Chloasma of right eye, unspecified eyelid and periocular area"
H02714,Chloasma of left upper eyelid and periocular area
H02715,Chloasma of left lower eyelid and periocular area
H02716,"Chloasma of left eye, unspecified eyelid and periocular area"
H02719,"Chloasma of unspecified eye, unspecified eyelid and periocular area"
H02721,Madarosis of right upper eyelid and periocular area
H02722,Madarosis of right lower eyelid and periocular area
H02723,"Madarosis of right eye, unspecified eyelid and periocular area"
H02724,Madarosis of left upper eyelid and periocular area
H02725,Madarosis of left lower eyelid and periocular area
H02726,"Madarosis of left eye, unspecified eyelid and periocular area"
H02729,"Madarosis of unspecified eye, unspecified eyelid and periocular area"
H02731,Vitiligo of right upper eyelid and periocular area
H02732,Vitiligo of right lower eyelid and periocular area
H02733,"Vitiligo of right eye, unspecified eyelid and periocular area"
H02734,Vitiligo of left upper eyelid and periocular area
H02735,Vitiligo of left lower eyelid and periocular area
H02736,"Vitiligo of left eye, unspecified eyelid and periocular area"
H02739,"Vitiligo of unspecified eye, unspecified eyelid and periocular area"
H0279,Other degenerative disorders of eyelid and periocular area
H02811,Retained foreign body in right upper eyelid
H02812,Retained foreign body in right lower eyelid
H02813,"Retained foreign body in right eye, unspecified eyelid"
H02814,Retained foreign body in left upper eyelid
H02815,Retained foreign body in left lower eyelid
H02816,"Retained foreign body in left eye, unspecified eyelid"
H02819,"Retained foreign body in unspecified eye, unspecified eyelid"
H02821,Cysts of right upper eyelid
H02822,Cysts of right lower eyelid
H02823,"Cysts of right eye, unspecified eyelid"
H02824,Cysts of left upper eyelid
H02825,Cysts of left lower eyelid
H02826,"Cysts of left eye, unspecified eyelid"
H02829,"Cysts of unspecified eye, unspecified eyelid"
H02831,Dermatochalasis of right upper eyelid
H02832,Dermatochalasis of right lower eyelid
H02833,"Dermatochalasis of right eye, unspecified eyelid"
H02834,Dermatochalasis of left upper eyelid
H02835,Dermatochalasis of left lower eyelid
H02836,"Dermatochalasis of left eye, unspecified eyelid"
H02839,"Dermatochalasis of unspecified eye, unspecified eyelid"
H02841,Edema of right upper eyelid
H02842,Edema of right lower eyelid
H02843,"Edema of right eye, unspecified eyelid"
H02844,Edema of left upper eyelid
H02845,Edema of left lower eyelid
H02846,"Edema of left eye, unspecified eyelid"
H02849,"Edema of unspecified eye, unspecified eyelid"
H02851,Elephantiasis of right upper eyelid
H02852,Elephantiasis of right lower eyelid
H02853,"Elephantiasis of right eye, unspecified eyelid"
H02854,Elephantiasis of left upper eyelid
H02855,Elephantiasis of left lower eyelid
H02856,"Elephantiasis of left eye, unspecified eyelid"
H02859,"Elephantiasis of unspecified eye, unspecified eyelid"
H02861,Hypertrichosis of right upper eyelid
H02862,Hypertrichosis of right lower eyelid
H02863,"Hypertrichosis of right eye, unspecified eyelid"
H02864,Hypertrichosis of left upper eyelid
H02865,Hypertrichosis of left lower eyelid
H02866,"Hypertrichosis of left eye, unspecified eyelid"
H02869,"Hypertrichosis of unspecified eye, unspecified eyelid"
H02871,Vascular anomalies of right upper eyelid
H02872,Vascular anomalies of right lower eyelid
H02873,"Vascular anomalies of right eye, unspecified eyelid"
H02874,Vascular anomalies of left upper eyelid
H02875,Vascular anomalies of left lower eyelid
H02876,"Vascular anomalies of left eye, unspecified eyelid"
H02879,"Vascular anomalies of unspecified eye, unspecified eyelid"
H0289,Other specified disorders of eyelid
H029,Unspecified disorder of eyelid
H04001,"Unspecified dacryoadenitis, right lacrimal gland"
H04002,"Unspecified dacryoadenitis, left lacrimal gland"
H04003,"Unspecified dacryoadenitis, bilateral lacrimal glands"
H04009,"Unspecified dacryoadenitis, unspecified lacrimal gland"
H04011,"Acute dacryoadenitis, right lacrimal gland"
H04012,"Acute dacryoadenitis, left lacrimal gland"
H04013,"Acute dacryoadenitis, bilateral lacrimal glands"
H04019,"Acute dacryoadenitis, unspecified lacrimal gland"
H04021,"Chronic dacryoadenitis, right lacrimal gland"
H04022,"Chronic dacryoadenitis, left lacrimal gland"
H04023,"Chronic dacryoadenitis, bilateral lacrimal gland"
H04029,"Chronic dacryoadenitis, unspecified lacrimal gland"
H04031,Chronic enlargement of right lacrimal gland
H04032,Chronic enlargement of left lacrimal gland
H04033,Chronic enlargement of bilateral lacrimal glands
H04039,Chronic enlargement of unspecified lacrimal gland
H04111,Dacryops of right lacrimal gland
H04112,Dacryops of left lacrimal gland
H04113,Dacryops of bilateral lacrimal glands
H04119,Dacryops of unspecified lacrimal gland
H04121,Dry eye syndrome of right lacrimal gland
H04122,Dry eye syndrome of left lacrimal gland
H04123,Dry eye syndrome of bilateral lacrimal glands
H04129,Dry eye syndrome of unspecified lacrimal gland
H04131,"Lacrimal cyst, right lacrimal gland"
H04132,"Lacrimal cyst, left lacrimal gland"
H04133,"Lacrimal cyst, bilateral lacrimal glands"
H04139,"Lacrimal cyst, unspecified lacrimal gland"
H04141,"Primary lacrimal gland atrophy, right lacrimal gland"
H04142,"Primary lacrimal gland atrophy, left lacrimal gland"
H04143,"Primary lacrimal gland atrophy, bilateral lacrimal glands"
H04149,"Primary lacrimal gland atrophy, unspecified lacrimal gland"
H04151,"Secondary lacrimal gland atrophy, right lacrimal gland"
H04152,"Secondary lacrimal gland atrophy, left lacrimal gland"
H04153,"Secondary lacrimal gland atrophy, bilateral lacrimal glands"
H04159,"Secondary lacrimal gland atrophy, unspecified lacrimal gland"
H04161,"Lacrimal gland dislocation, right lacrimal gland"
H04162,"Lacrimal gland dislocation, left lacrimal gland"
H04163,"Lacrimal gland dislocation, bilateral lacrimal glands"
H04169,"Lacrimal gland dislocation, unspecified lacrimal gland"
H0419,Other specified disorders of lacrimal gland
H04201,"Unspecified epiphora, right lacrimal gland"
H04202,"Unspecified epiphora, left lacrimal gland"
H04203,"Unspecified epiphora, bilateral lacrimal glands"
H04209,"Unspecified epiphora, unspecified lacrimal gland"
H04211,"Epiphora due to excess lacrimation, right lacrimal gland"
H04212,"Epiphora due to excess lacrimation, left lacrimal gland"
H04213,"Epiphora due to excess lacrimation, bilateral lacrimal glands"
H04219,"Epiphora due to excess lacrimation, unspecified lacrimal gland"
H04221,"Epiphora due to insufficient drainage, right lacrimal gland"
H04222,"Epiphora due to insufficient drainage, left lacrimal gland"
H04223,"Epiphora due to insufficient drainage, bilateral lacrimal glands"
H04229,"Epiphora due to insufficient drainage, unspecified lacrimal gland"
H04301,Unspecified dacryocystitis of right lacrimal passage
H04302,Unspecified dacryocystitis of left lacrimal passage
H04303,Unspecified dacryocystitis of bilateral lacrimal passages
H04309,Unspecified dacryocystitis of unspecified lacrimal passage
H04311,Phlegmonous dacryocystitis of right lacrimal passage
H04312,Phlegmonous dacryocystitis of left lacrimal passage
H04313,Phlegmonous dacryocystitis of bilateral lacrimal passages
H04319,Phlegmonous dacryocystitis of unspecified lacrimal passage
H04321,Acute dacryocystitis of right lacrimal passage
H04322,Acute dacryocystitis of left lacrimal passage
H04323,Acute dacryocystitis of bilateral lacrimal passages
H04329,Acute dacryocystitis of unspecified lacrimal passage
H04331,Acute lacrimal canaliculitis of right lacrimal passage
H04332,Acute lacrimal canaliculitis of left lacrimal passage
H04333,Acute lacrimal canaliculitis of bilateral lacrimal passages
H04339,Acute lacrimal canaliculitis of unspecified lacrimal passage
H04411,Chronic dacryocystitis of right lacrimal passage
H04412,Chronic dacryocystitis of left lacrimal passage
H04413,Chronic dacryocystitis of bilateral lacrimal passages
H04419,Chronic dacryocystitis of unspecified lacrimal passage
H04421,Chronic lacrimal canaliculitis of right lacrimal passage
H04422,Chronic lacrimal canaliculitis of left lacrimal passage
H04423,Chronic lacrimal canaliculitis of bilateral lacrimal passages
H04429,Chronic lacrimal canaliculitis of unspecified lacrimal passage
H04431,Chronic lacrimal mucocele of right lacrimal passage
H04432,Chronic lacrimal mucocele of left lacrimal passage
H04433,Chronic lacrimal mucocele of bilateral lacrimal passages
H04439,Chronic lacrimal mucocele of unspecified lacrimal passage
H04511,Dacryolith of right lacrimal passage
H04512,Dacryolith of left lacrimal passage
H04513,Dacryolith of bilateral lacrimal passages
H04519,Dacryolith of unspecified lacrimal passage
H04521,Eversion of right lacrimal punctum
H04522,Eversion of left lacrimal punctum
H04523,Eversion of bilateral lacrimal punctum
H04529,Eversion of unspecified lacrimal punctum
H04531,Neonatal obstruction of right nasolacrimal duct
H04532,Neonatal obstruction of left nasolacrimal duct
H04533,Neonatal obstruction of bilateral nasolacrimal duct
H04539,Neonatal obstruction of unspecified nasolacrimal duct
H04541,Stenosis of right lacrimal canaliculi
H04542,Stenosis of left lacrimal canaliculi
H04543,Stenosis of bilateral lacrimal canaliculi
H04549,Stenosis of unspecified lacrimal canaliculi
H04551,Acquired stenosis of right nasolacrimal duct
H04552,Acquired stenosis of left nasolacrimal duct
H04553,Acquired stenosis of bilateral nasolacrimal duct
H04559,Acquired stenosis of unspecified nasolacrimal duct
H04561,Stenosis of right lacrimal punctum
H04562,Stenosis of left lacrimal punctum
H04563,Stenosis of bilateral lacrimal punctum
H04569,Stenosis of unspecified lacrimal punctum
H04571,Stenosis of right lacrimal sac
H04572,Stenosis of left lacrimal sac
H04573,Stenosis of bilateral lacrimal sac
H04579,Stenosis of unspecified lacrimal sac
H04611,Lacrimal fistula right lacrimal passage
H04612,Lacrimal fistula left lacrimal passage
H04613,Lacrimal fistula bilateral lacrimal passages
H04619,Lacrimal fistula unspecified lacrimal passage
H0469,Other changes of lacrimal passages
H04811,Granuloma of right lacrimal passage
H04812,Granuloma of left lacrimal passage
H04813,Granuloma of bilateral lacrimal passages
H04819,Granuloma of unspecified lacrimal passage
H0489,Other disorders of lacrimal system
H049,"Disorder of lacrimal system, unspecified"
H0500,Unspecified acute inflammation of orbit
H05011,Cellulitis of right orbit
H05012,Cellulitis of left orbit
H05013,Cellulitis of bilateral orbits
H05019,Cellulitis of unspecified orbit
H05021,Osteomyelitis of right orbit
H05022,Osteomyelitis of left orbit
H05023,Osteomyelitis of bilateral orbits
H05029,Osteomyelitis of unspecified orbit
H05031,Periostitis of right orbit
H05032,Periostitis of left orbit
H05033,Periostitis of bilateral orbits
H05039,Periostitis of unspecified orbit
H05041,Tenonitis of right orbit
H05042,Tenonitis of left orbit
H05043,Tenonitis of bilateral orbits
H05049,Tenonitis of unspecified orbit
H0510,Unspecified chronic inflammatory disorders of orbit
H05111,Granuloma of right orbit
H05112,Granuloma of left orbit
H05113,Granuloma of bilateral orbits
H05119,Granuloma of unspecified orbit
H05121,"Orbital myositis, right orbit"
H05122,"Orbital myositis, left orbit"
H05123,"Orbital myositis, bilateral"
H05129,"Orbital myositis, unspecified orbit"
H0520,Unspecified exophthalmos
H05211,"Displacement (lateral) of globe, right eye"
H05212,"Displacement (lateral) of globe, left eye"
H05213,"Displacement (lateral) of globe, bilateral"
H05219,"Displacement (lateral) of globe, unspecified eye"
H05221,Edema of right orbit
H05222,Edema of left orbit
H05223,Edema of bilateral orbit
H05229,Edema of unspecified orbit
H05231,Hemorrhage of right orbit
H05232,Hemorrhage of left orbit
H05233,Hemorrhage of bilateral orbit
H05239,Hemorrhage of unspecified orbit
H05241,"Constant exophthalmos, right eye"
H05242,"Constant exophthalmos, left eye"
H05243,"Constant exophthalmos, bilateral"
H05249,"Constant exophthalmos, unspecified eye"
H05251,"Intermittent exophthalmos, right eye"
H05252,"Intermittent exophthalmos, left eye"
H05253,"Intermittent exophthalmos, bilateral"
H05259,"Intermittent exophthalmos, unspecified eye"
H05261,"Pulsating exophthalmos, right eye"
H05262,"Pulsating exophthalmos, left eye"
H05263,"Pulsating exophthalmos, bilateral"
H05269,"Pulsating exophthalmos, unspecified eye"
H0530,Unspecified deformity of orbit
H05311,Atrophy of right orbit
H05312,Atrophy of left orbit
H05313,Atrophy of bilateral orbit
H05319,Atrophy of unspecified orbit
H05321,Deformity of right orbit due to bone disease
H05322,Deformity of left orbit due to bone disease
H05323,Deformity of bilateral orbits due to bone disease
H05329,Deformity of unspecified orbit due to bone disease
H05331,Deformity of right orbit due to trauma or surgery
H05332,Deformity of left orbit due to trauma or surgery
H05333,Deformity of bilateral orbits due to trauma or surgery
H05339,Deformity of unspecified orbit due to trauma or surgery
H05341,Enlargement of right orbit
H05342,Enlargement of left orbit
H05343,Enlargement of bilateral orbits
H05349,Enlargement of unspecified orbit
H05351,Exostosis of right orbit
H05352,Exostosis of left orbit
H05353,Exostosis of bilateral orbits
H05359,Exostosis of unspecified orbit
H05401,"Unspecified enophthalmos, right eye"
H05402,"Unspecified enophthalmos, left eye"
H05403,"Unspecified enophthalmos, bilateral"
H05409,"Unspecified enophthalmos, unspecified eye"
H05411,"Enophthalmos due to atrophy of orbital tissue, right eye"
H05412,"Enophthalmos due to atrophy of orbital tissue, left eye"
H05413,"Enophthalmos due to atrophy of orbital tissue, bilateral"
H05419,"Enophthalmos due to atrophy of orbital tissue, unspecified eye"
H05421,"Enophthalmos due to trauma or surgery, right eye"
H05422,"Enophthalmos due to trauma or surgery, left eye"
H05423,"Enophthalmos due to trauma or surgery, bilateral"
H05429,"Enophthalmos due to trauma or surgery, unspecified eye"
H0550,Retained (old) foreign body following penetrating wound of unspecified orbit
H0551,Retained (old) foreign body following penetrating wound of right orbit
H0552,Retained (old) foreign body following penetrating wound of left orbit
H0553,Retained (old) foreign body following penetrating wound of bilateral orbits
H05811,Cyst of right orbit
H05812,Cyst of left orbit
H05813,Cyst of bilateral orbits
H05819,Cyst of unspecified orbit
H05821,"Myopathy of extraocular muscles, right orbit"
H05822,"Myopathy of extraocular muscles, left orbit"
H05823,"Myopathy of extraocular muscles, bilateral"
H05829,"Myopathy of extraocular muscles, unspecified orbit"
H0589,Other disorders of orbit
H059,Unspecified disorder of orbit
H10011,"Acute follicular conjunctivitis, right eye"
H10012,"Acute follicular conjunctivitis, left eye"
H10013,"Acute follicular conjunctivitis, bilateral"
H10019,"Acute follicular conjunctivitis, unspecified eye"
H10021,"Other mucopurulent conjunctivitis, right eye"
H10022,"Other mucopurulent conjunctivitis, left eye"
H10023,"Other mucopurulent conjunctivitis, bilateral"
H10029,"Other mucopurulent conjunctivitis, unspecified eye"
H1010,"Acute atopic conjunctivitis, unspecified eye"
H1011,"Acute atopic conjunctivitis, right eye"
H1012,"Acute atopic conjunctivitis, left eye"
H1013,"Acute atopic conjunctivitis, bilateral"
H10211,"Acute toxic conjunctivitis, right eye"
H10212,"Acute toxic conjunctivitis, left eye"
H10213,"Acute toxic conjunctivitis, bilateral"
H10219,"Acute toxic conjunctivitis, unspecified eye"
H10221,"Pseudomembranous conjunctivitis, right eye"
H10222,"Pseudomembranous conjunctivitis, left eye"
H10223,"Pseudomembranous conjunctivitis, bilateral"
H10229,"Pseudomembranous conjunctivitis, unspecified eye"
H10231,"Serous conjunctivitis, except viral, right eye"
H10232,"Serous conjunctivitis, except viral, left eye"
H10233,"Serous conjunctivitis, except viral, bilateral"
H10239,"Serous conjunctivitis, except viral, unspecified eye"
H1030,"Unspecified acute conjunctivitis, unspecified eye"
H1031,"Unspecified acute conjunctivitis, right eye"
H1032,"Unspecified acute conjunctivitis, left eye"
H1033,"Unspecified acute conjunctivitis, bilateral"
H10401,"Unspecified chronic conjunctivitis, right eye"
H10402,"Unspecified chronic conjunctivitis, left eye"
H10403,"Unspecified chronic conjunctivitis, bilateral"
H10409,"Unspecified chronic conjunctivitis, unspecified eye"
H10411,"Chronic giant papillary conjunctivitis, right eye"
H10412,"Chronic giant papillary conjunctivitis, left eye"
H10413,"Chronic giant papillary conjunctivitis, bilateral"
H10419,"Chronic giant papillary conjunctivitis, unspecified eye"
H10421,"Simple chronic conjunctivitis, right eye"
H10422,"Simple chronic conjunctivitis, left eye"
H10423,"Simple chronic conjunctivitis, bilateral"
H10429,"Simple chronic conjunctivitis, unspecified eye"
H10431,"Chronic follicular conjunctivitis, right eye"
H10432,"Chronic follicular conjunctivitis, left eye"
H10433,"Chronic follicular conjunctivitis, bilateral"
H10439,"Chronic follicular conjunctivitis, unspecified eye"
H1044,Vernal conjunctivitis
H1045,Other chronic allergic conjunctivitis
H10501,"Unspecified blepharoconjunctivitis, right eye"
H10502,"Unspecified blepharoconjunctivitis, left eye"
H10503,"Unspecified blepharoconjunctivitis, bilateral"
H10509,"Unspecified blepharoconjunctivitis, unspecified eye"
H10511,"Ligneous conjunctivitis, right eye"
H10512,"Ligneous conjunctivitis, left eye"
H10513,"Ligneous conjunctivitis, bilateral"
H10519,"Ligneous conjunctivitis, unspecified eye"
H10521,"Angular blepharoconjunctivitis, right eye"
H10522,"Angular blepharoconjunctivitis, left eye"
H10523,"Angular blepharoconjunctivitis, bilateral"
H10529,"Angular blepharoconjunctivitis, unspecified eye"
H10531,"Contact blepharoconjunctivitis, right eye"
H10532,"Contact blepharoconjunctivitis, left eye"
H10533,"Contact blepharoconjunctivitis, bilateral"
H10539,"Contact blepharoconjunctivitis, unspecified eye"
H10811,"Pingueculitis, right eye"
H10812,"Pingueculitis, left eye"
H10813,"Pingueculitis, bilateral"
H10819,"Pingueculitis, unspecified eye"
H1089,Other conjunctivitis
H109,Unspecified conjunctivitis
H11001,Unspecified pterygium of right eye
H11002,Unspecified pterygium of left eye
H11003,"Unspecified pterygium of eye, bilateral"
H11009,Unspecified pterygium of unspecified eye
H11011,Amyloid pterygium of right eye
H11012,Amyloid pterygium of left eye
H11013,"Amyloid pterygium of eye, bilateral"
H11019,Amyloid pterygium of unspecified eye
H11021,Central pterygium of right eye
H11022,Central pterygium of left eye
H11023,"Central pterygium of eye, bilateral"
H11029,Central pterygium of unspecified eye
H11031,Double pterygium of right eye
H11032,Double pterygium of left eye
H11033,"Double pterygium of eye, bilateral"
H11039,Double pterygium of unspecified eye
H11041,"Peripheral pterygium, stationary, right eye"
H11042,"Peripheral pterygium, stationary, left eye"
H11043,"Peripheral pterygium, stationary, bilateral"
H11049,"Peripheral pterygium, stationary, unspecified eye"
H11051,"Peripheral pterygium, progressive, right eye"
H11052,"Peripheral pterygium, progressive, left eye"
H11053,"Peripheral pterygium, progressive, bilateral"
H11059,"Peripheral pterygium, progressive, unspecified eye"
H11061,Recurrent pterygium of right eye
H11062,Recurrent pterygium of left eye
H11063,"Recurrent pterygium of eye, bilateral"
H11069,Recurrent pterygium of unspecified eye
H1110,Unspecified conjunctival degenerations
H11111,"Conjunctival deposits, right eye"
H11112,"Conjunctival deposits, left eye"
H11113,"Conjunctival deposits, bilateral"
H11119,"Conjunctival deposits, unspecified eye"
H11121,"Conjunctival concretions, right eye"
H11122,"Conjunctival concretions, left eye"
H11123,"Conjunctival concretions, bilateral"
H11129,"Conjunctival concretions, unspecified eye"
H11131,"Conjunctival pigmentations, right eye"
H11132,"Conjunctival pigmentations, left eye"
H11133,"Conjunctival pigmentations, bilateral"
H11139,"Conjunctival pigmentations, unspecified eye"
H11141,"Conjunctival xerosis, unspecified, right eye"
H11142,"Conjunctival xerosis, unspecified, left eye"
H11143,"Conjunctival xerosis, unspecified, bilateral"
H11149,"Conjunctival xerosis, unspecified, unspecified eye"
H11151,"Pinguecula, right eye"
H11152,"Pinguecula, left eye"
H11153,"Pinguecula, bilateral"
H11159,"Pinguecula, unspecified eye"
H11211,"Conjunctival adhesions and strands (localized), right eye"
H11212,"Conjunctival adhesions and strands (localized), left eye"
H11213,"Conjunctival adhesions and strands (localized), bilateral"
